first_name,last_name,birthday,age,gender,party,chamber,state,birthyear,generation
John,Garamendi,1945-01-24,81,M,Democrat,House,CA,1945,Silent Generation
Paul,Gosar,1958-11-22,67,M,Republican,House,AZ,1958,Baby Boomer
Charles,Grassley,1933-09-17,92,M,Republican,Senate,IA,1933,Silent Generation
Sam,Graves,1963-11-07,62,M,Republican,House,MO,1963,Baby Boomer
Al,Green,1947-09-01,78,M,Democrat,House,TX,1947,Baby Boomer
H.,Griffith,1958-03-15,68,M,Republican,House,VA,1958,Baby Boomer
Brett,Guthrie,1964-02-18,62,M,Republican,House,KY,1964,Baby Boomer
Andy,Harris,1957-01-25,69,M,Republican,House,MD,1957,Baby Boomer
Martin,Heinrich,1971-10-17,54,M,Democrat,Senate,NM,1971,Generation X
James,Himes,1966-07-05,59,M,Democrat,House,CT,1966,Generation X
Mazie,Hirono,1947-11-03,78,F,Democrat,Senate,HI,1947,Baby Boomer
John,Hoeven,1957-03-13,69,M,Republican,Senate,ND,1957,Baby Boomer
Steny,Hoyer,1939-06-14,86,M,Democrat,House,MD,1939,Silent Generation
Bill,Huizenga,1969-01-31,57,M,Republican,House,MI,1969,Generation X
Henry,Johnson,1954-10-02,71,M,Democrat,House,GA,1954,Baby Boomer
Ron,Johnson,1955-04-08,71,M,Republican,Senate,WI,1955,Baby Boomer
Jim,Jordan,1964-02-17,62,M,Republican,House,OH,1964,Baby Boomer
Marcy,Kaptur,1946-06-17,79,F,Democrat,House,OH,1946,Baby Boomer
William,Keating,1952-09-06,73,M,Democrat,House,MA,1952,Baby Boomer
Mike,Kelly,1948-05-10,78,M,Republican,House,PA,1948,Baby Boomer
James,Lankford,1968-03-04,58,M,Republican,Senate,OK,1968,Generation X
Rick,Larsen,1965-06-15,60,M,Democrat,House,WA,1965,Generation X
John,Larson,1948-07-22,77,M,Democrat,House,CT,1948,Baby Boomer
Robert,Latta,1956-04-18,70,M,Republican,House,OH,1956,Baby Boomer
Mike,Lee,1971-06-04,54,M,Republican,Senate,UT,1971,Generation X
Zoe,Lofgren,1947-12-21,78,F,Democrat,House,CA,1947,Baby Boomer
Frank,Lucas,1960-01-06,66,M,Republican,House,OK,1960,Baby Boomer
Ben,Luján,1972-06-07,53,M,Democrat,Senate,NM,1972,Generation X
Stephen,Lynch,1955-03-31,71,M,Democrat,House,MA,1955,Baby Boomer
Edward,Markey,1946-07-11,79,M,Democrat,Senate,MA,1946,Baby Boomer
Doris,Matsui,1944-09-25,81,F,Democrat,House,CA,1944,Silent Generation
Michael,McCaul,1962-01-14,64,M,Republican,House,TX,1962,Baby Boomer
Tom,McClintock,1956-07-10,69,M,Republican,House,CA,1956,Baby Boomer
Betty,McCollum,1954-07-12,71,F,Democrat,House,MN,1954,Baby Boomer
James,McGovern,1959-11-20,66,M,Democrat,House,MA,1959,Baby Boomer
Gregory,Meeks,1953-09-25,72,M,Democrat,House,NY,1953,Baby Boomer
Gwen,Moore,1951-04-18,75,F,Democrat,House,WI,1951,Baby Boomer
Jerry,Moran,1954-05-29,72,M,Republican,Senate,KS,1954,Baby Boomer
Lisa,Murkowski,1957-05-22,69,F,Republican,Senate,AK,1957,Baby Boomer
Christopher,Murphy,1973-08-03,52,M,Democrat,Senate,CT,1973,Generation X
Patty,Murray,1950-10-11,75,F,Democrat,Senate,WA,1950,Baby Boomer
Jerrold,Nadler,1947-06-13,78,M,Democrat,House,NY,1947,Baby Boomer
Richard,Neal,1949-02-14,77,M,Democrat,House,MA,1949,Baby Boomer
Eleanor,Norton,1937-06-13,88,F,Democrat,House,DC,1937,Silent Generation
Frank,Pallone,1951-10-30,74,M,Democrat,House,NJ,1951,Baby Boomer
Rand,Paul,1963-01-07,63,M,Republican,Senate,KY,1963,Baby Boomer
Nancy,Pelosi,1940-03-26,86,F,Democrat,House,CA,1940,Silent Generation
Gary,Peters,1958-12-01,67,M,Democrat,Senate,MI,1958,Baby Boomer
Chellie,Pingree,1955-04-02,71,F,Democrat,House,ME,1955,Baby Boomer
Mike,Quigley,1958-10-17,67,M,Democrat,House,IL,1958,Baby Boomer
Harold,Rogers,1937-12-31,88,M,Republican,House,KY,1937,Silent Generation
Mike,Rogers,1958-07-16,67,M,Republican,House,AL,1958,Baby Boomer
Steve,Scalise,1965-10-06,60,M,Republican,House,LA,1965,Generation X
Janice,Schakowsky,1944-05-26,82,F,Democrat,House,IL,1944,Silent Generation
Adam,Schiff,1960-06-22,65,M,Democrat,Senate,CA,1960,Baby Boomer
Charles,Schumer,1950-11-23,75,M,Democrat,Senate,NY,1950,Baby Boomer
David,Schweikert,1962-03-03,64,M,Republican,House,AZ,1962,Baby Boomer
Austin,Scott,1969-12-10,56,M,Republican,House,GA,1969,Generation X
Robert,Scott,1947-04-30,79,M,Democrat,House,VA,1947,Baby Boomer
Tim,Scott,1965-09-19,60,M,Republican,Senate,SC,1965,Generation X
Terri,Sewell,1965-01-01,61,F,Democrat,House,AL,1965,Generation X
Brad,Sherman,1954-10-24,71,M,Democrat,House,CA,1954,Baby Boomer
Michael,Simpson,1950-09-08,75,M,Republican,House,ID,1950,Baby Boomer
Adam,Smith,1965-06-15,60,M,Democrat,House,WA,1965,Generation X
Adrian,Smith,1970-12-19,55,M,Republican,House,NE,1970,Generation X
Christopher,Smith,1953-03-04,73,M,Republican,House,NJ,1953,Baby Boomer
Linda,Sánchez,1969-01-28,57,F,Democrat,House,CA,1969,Generation X
Bennie,Thompson,1948-01-28,78,M,Democrat,House,MS,1948,Baby Boomer
Mike,Thompson,1951-01-24,75,M,Democrat,House,CA,1951,Baby Boomer
Glenn,Thompson,1959-07-27,66,M,Republican,House,PA,1959,Baby Boomer
John,Thune,1961-01-07,65,M,Republican,Senate,SD,1961,Baby Boomer
Paul,Tonko,1949-06-18,76,M,Democrat,House,NY,1949,Baby Boomer
Michael,Turner,1960-01-11,66,M,Republican,House,OH,1960,Baby Boomer
Chris,Van Hollen,1959-01-10,67,M,Democrat,Senate,MD,1959,Baby Boomer
Nydia,Velázquez,1953-03-28,73,F,Democrat,House,NY,1953,Baby Boomer
Tim,Walberg,1951-04-12,75,M,Republican,House,MI,1951,Baby Boomer
Debbie,Wasserman Schultz,1966-09-27,59,F,Democrat,House,FL,1966,Generation X
Maxine,Waters,1938-08-15,87,F,Democrat,House,CA,1938,Silent Generation
Daniel,Webster,1949-04-27,77,M,Republican,House,FL,1949,Baby Boomer
Peter,Welch,1947-05-02,79,M,Democrat,Senate,VT,1947,Baby Boomer
Joe,Wilson,1947-07-31,78,M,Republican,House,SC,1947,Baby Boomer
Frederica,Wilson,1942-11-05,83,F,Democrat,House,FL,1942,Silent Generation
Robert,Wittman,1959-02-03,67,M,Republican,House,VA,1959,Baby Boomer
Steve,Womack,1957-02-18,69,M,Republican,House,AR,1957,Baby Boomer
Ron,Wyden,1949-05-03,77,M,Democrat,Senate,OR,1949,Baby Boomer
Todd,Young,1972-08-24,53,M,Republican,Senate,IN,1972,Generation X
Mark,Amodei,1958-06-12,67,M,Republican,House,NV,1958,Baby Boomer
Suzanne,Bonamici,1954-10-14,71,F,Democrat,House,OR,1954,Baby Boomer
Suzan,DelBene,1962-02-17,64,F,Democrat,House,WA,1962,Baby Boomer
Thomas,Massie,1971-01-13,55,M,Republican,House,KY,1971,Generation X
Brian,Schatz,1972-10-20,53,M,Democrat,Senate,HI,1972,Generation X
Bill,Foster,1955-10-07,70,M,Democrat,House,IL,1955,Baby Boomer
Dina,Titus,1950-05-23,76,F,Democrat,House,NV,1950,Baby Boomer
Tom,Cotton,1977-05-13,49,M,Republican,Senate,AR,1977,Generation X
Jared,Huffman,1964-02-18,62,M,Democrat,House,CA,1964,Baby Boomer
Ami,Bera,1965-03-02,61,M,Democrat,House,CA,1965,Generation X
Julia,Brownley,1952-08-28,73,F,Democrat,House,CA,1952,Baby Boomer
Raul,Ruiz,1972-08-25,53,M,Democrat,House,CA,1972,Generation X
Mark,Takano,1960-12-10,65,M,Democrat,House,CA,1960,Baby Boomer
Juan,Vargas,1961-03-07,65,M,Democrat,House,CA,1961,Baby Boomer
Scott,Peters,1958-06-17,67,M,Democrat,House,CA,1958,Baby Boomer
Lois,Frankel,1948-05-16,78,F,Democrat,House,FL,1948,Baby Boomer
Tammy,Duckworth,1968-03-12,58,F,Democrat,Senate,IL,1968,Generation X
Garland,Barr,1973-07-24,52,M,Republican,House,KY,1973,Generation X
Elizabeth,Warren,1949-06-22,76,F,Democrat,Senate,MA,1949,Baby Boomer
Angus,King,1944-03-31,82,M,Independent,Senate,ME,1944,Silent Generation
Ann,Wagner,1962-09-13,63,F,Republican,House,MO,1962,Baby Boomer
Steve,Daines,1962-08-20,63,M,Republican,Senate,MT,1962,Baby Boomer
Richard,Hudson,1971-11-04,54,M,Republican,House,NC,1971,Generation X
Kevin,Cramer,1961-01-21,65,M,Republican,Senate,ND,1961,Baby Boomer
Deb,Fischer,1951-03-01,75,F,Republican,Senate,NE,1951,Baby Boomer
Grace,Meng,1975-10-01,50,F,Democrat,House,NY,1975,Generation X
Hakeem,Jeffries,1970-08-04,55,M,Democrat,House,NY,1970,Generation X
Joyce,Beatty,1950-03-12,76,F,Democrat,House,OH,1950,Baby Boomer
David,Joyce,1957-03-17,69,M,Republican,House,OH,1957,Baby Boomer
Scott,Perry,1962-05-27,64,M,Republican,House,PA,1962,Baby Boomer
Ted,Cruz,1970-12-22,55,M,Republican,Senate,TX,1970,Generation X
Randy,Weber,1953-07-02,72,M,Republican,House,TX,1953,Baby Boomer
Joaquin,Castro,1974-09-16,51,M,Democrat,House,TX,1974,Generation X
Roger,Williams,1949-09-13,76,M,Republican,House,TX,1949,Baby Boomer
Marc,Veasey,1971-01-03,55,M,Democrat,House,TX,1971,Generation X
Timothy,Kaine,1958-02-26,68,M,Democrat,Senate,VA,1958,Baby Boomer
Mark,Pocan,1964-08-14,61,M,Democrat,House,WI,1964,Baby Boomer
Robin,Kelly,1956-04-30,70,F,Democrat,House,IL,1956,Baby Boomer
Jason,Smith,1980-06-16,45,M,Republican,House,MO,1980,Generation X
Cory,Booker,1969-04-27,57,M,Democrat,Senate,NJ,1969,Generation X
Katherine,Clark,1963-07-17,62,F,Democrat,House,MA,1963,Baby Boomer
Donald,Norcross,1958-12-13,67,M,Democrat,House,NJ,1958,Baby Boomer
Alma,Adams,1946-05-27,80,F,Democrat,House,NC,1946,Baby Boomer
Gary,Palmer,1954-05-14,72,M,Republican,House,AL,1954,Baby Boomer
J.,Hill,1956-12-05,69,M,Republican,House,AR,1956,Baby Boomer
Bruce,Westerman,1967-11-18,58,M,Republican,House,AR,1967,Generation X
Ruben,Gallego,1979-11-20,46,M,Democrat,Senate,AZ,1979,Generation X
Mark,DeSaulnier,1952-03-31,74,M,Democrat,House,CA,1952,Baby Boomer
Pete,Aguilar,1979-06-19,46,M,Democrat,House,CA,1979,Generation X
Ted,Lieu,1969-03-29,57,M,Democrat,House,CA,1969,Generation X
Norma,Torres,1965-04-04,61,F,Democrat,House,CA,1965,Generation X
Earl,Carter,1957-09-06,68,M,Republican,House,GA,1957,Baby Boomer
Barry,Loudermilk,1963-12-22,62,M,Republican,House,GA,1963,Baby Boomer
Rick,Allen,1951-11-07,74,M,Republican,House,GA,1951,Baby Boomer
Mike,Bost,1960-12-30,65,M,Republican,House,IL,1960,Baby Boomer
Seth,Moulton,1978-10-24,47,M,Democrat,House,MA,1978,Generation X
John,Moolenaar,1961-05-08,65,M,Republican,House,MI,1961,Baby Boomer
Debbie,Dingell,1953-11-23,72,F,Democrat,House,MI,1953,Baby Boomer
Tom,Emmer,1961-03-03,65,M,Republican,House,MN,1961,Baby Boomer
David,Rouzer,1972-02-16,54,M,Republican,House,NC,1972,Generation X
Bonnie,Watson Coleman,1945-02-06,81,F,Democrat,House,NJ,1945,Silent Generation
Elise,Stefanik,1984-07-02,41,F,Republican,House,NY,1984,Millennial
Brendan,Boyle,1977-02-06,49,M,Democrat,House,PA,1977,Generation X
Brian,Babin,1948-03-23,78,M,Republican,House,TX,1948,Baby Boomer
Donald,Beyer,1950-06-20,75,M,Democrat,House,VA,1950,Baby Boomer
Stacey,Plaskett,1966-05-13,60,F,Democrat,House,VI,1966,Generation X
Dan,Newhouse,1955-07-10,70,M,Republican,House,WA,1955,Baby Boomer
Glenn,Grothman,1955-07-03,70,M,Republican,House,WI,1955,Baby Boomer
Aumua Amata,Radewagen,1947-12-29,78,F,Republican,House,AS,1947,Baby Boomer
Dan,Sullivan,1964-11-13,61,M,Republican,Senate,AK,1964,Baby Boomer
Joni,Ernst,1970-07-01,55,F,Republican,Senate,IA,1970,Generation X
Thom,Tillis,1960-08-30,65,M,Republican,Senate,NC,1960,Baby Boomer
Mike,Rounds,1954-10-24,71,M,Republican,Senate,SD,1954,Baby Boomer
Trent,Kelly,1966-03-01,60,M,Republican,House,MS,1966,Generation X
Darin,LaHood,1968-07-05,57,M,Republican,House,IL,1968,Generation X
Warren,Davidson,1970-03-01,56,M,Republican,House,OH,1970,Generation X
James,Comer,1972-08-19,53,M,Republican,House,KY,1972,Generation X
Dwight,Evans,1954-05-16,72,M,Democrat,House,PA,1954,Baby Boomer
John,Kennedy,1951-11-21,74,M,Republican,Senate,LA,1951,Baby Boomer
Margaret,Hassan,1958-02-27,68,F,Democrat,Senate,NH,1958,Baby Boomer
Catherine,Cortez Masto,1964-03-29,62,F,Democrat,Senate,NV,1964,Baby Boomer
Bradley,Schneider,1961-08-20,64,M,Democrat,House,IL,1961,Baby Boomer
Andy,Biggs,1958-11-07,67,M,Republican,House,AZ,1958,Baby Boomer
Ro,Khanna,1976-09-13,49,M,Democrat,House,CA,1976,Generation X
Jimmy,Panetta,1969-10-01,56,M,Democrat,House,CA,1969,Generation X
Salud,Carbajal,1964-11-18,61,M,Democrat,House,CA,1964,Baby Boomer
Nanette,Barragán,1976-09-15,49,F,Democrat,House,CA,1976,Generation X
J.,Correa,1958-01-24,68,M,Democrat,House,CA,1958,Baby Boomer
Lisa,Blunt Rochester,1962-02-10,64,F,Democrat,Senate,DE,1962,Baby Boomer
Neal,Dunn,1953-02-16,73,M,Republican,House,FL,1953,Baby Boomer
John,Rutherford,1952-09-02,73,M,Republican,House,FL,1952,Baby Boomer
Darren,Soto,1978-02-25,48,M,Democrat,House,FL,1978,Generation X
Brian,Mast,1980-07-10,45,M,Republican,House,FL,1980,Generation X
Raja,Krishnamoorthi,1973-07-19,52,M,Democrat,House,IL,1973,Generation X
Jim,Banks,1979-07-16,46,M,Republican,Senate,IN,1979,Generation X
Roger,Marshall,1960-08-09,65,M,Republican,Senate,KS,1960,Baby Boomer
Clay,Higgins,1961-08-24,64,M,Republican,House,LA,1961,Baby Boomer
Mike,Johnson,1972-01-30,54,M,Republican,House,LA,1972,Generation X
Jamie,Raskin,1962-12-13,63,M,Democrat,House,MD,1962,Baby Boomer
Jack,Bergman,1947-02-02,79,M,Republican,House,MI,1947,Baby Boomer
Ted,Budd,1971-10-21,54,M,Republican,Senate,NC,1971,Generation X
Don,Bacon,1963-08-16,62,M,Republican,House,NE,1963,Baby Boomer
Josh,Gottheimer,1975-03-08,51,M,Democrat,House,NJ,1975,Generation X
Jacky,Rosen,1957-08-02,68,F,Democrat,Senate,NV,1957,Baby Boomer
Adriano,Espaillat,1954-09-27,71,M,Democrat,House,NY,1954,Baby Boomer
Brian,Fitzpatrick,1973-12-17,52,M,Republican,House,PA,1973,Generation X
Lloyd,Smucker,1964-01-23,62,M,Republican,House,PA,1964,Baby Boomer
David,Kustoff,1966-10-08,59,M,Republican,House,TN,1966,Generation X
Vicente,Gonzalez,1967-09-04,58,M,Democrat,House,TX,1967,Generation X
Jodey,Arrington,1972-03-09,54,M,Republican,House,TX,1972,Generation X
Pramila,Jayapal,1965-09-21,60,F,Democrat,House,WA,1965,Generation X
Ron,Estes,1956-07-19,69,M,Republican,House,KS,1956,Baby Boomer
Ralph,Norman,1953-06-20,72,M,Republican,House,SC,1953,Baby Boomer
Jimmy,Gomez,1974-11-25,51,M,Democrat,House,CA,1974,Generation X
John,Curtis,1960-05-10,66,M,Republican,Senate,UT,1960,Baby Boomer
Tina,Smith,1958-03-04,68,F,Democrat,Senate,MN,1958,Baby Boomer
Cindy,Hyde-Smith,1959-05-10,67,F,Republican,Senate,MS,1959,Baby Boomer
Michael,Cloud,1975-05-13,51,M,Republican,House,TX,1975,Generation X
Troy,Balderson,1962-01-16,64,M,Republican,House,OH,1962,Baby Boomer
Kevin,Hern,1961-12-04,64,M,Republican,House,OK,1961,Baby Boomer
Joseph,Morelle,1957-04-29,69,M,Democrat,House,NY,1957,Baby Boomer
Mary,Scanlon,1959-08-30,66,F,Democrat,House,PA,1959,Baby Boomer
Ed,Case,1952-09-27,73,M,Democrat,House,HI,1952,Baby Boomer
Steven,Horsford,1973-04-29,53,M,Democrat,House,NV,1973,Generation X
Greg,Stanton,1970-03-08,56,M,Democrat,House,AZ,1970,Generation X
Josh,Harder,1986-08-01,39,M,Democrat,House,CA,1986,Millennial
Mike,Levin,1978-10-28,47,M,Democrat,House,CA,1978,Generation X
Joe,Neguse,1984-05-13,42,M,Democrat,House,CO,1984,Millennial
Jason,Crow,1979-03-15,47,M,Democrat,House,CO,1979,Generation X
Jahana,Hayes,1973-03-08,53,F,Democrat,House,CT,1973,Generation X
W.,Steube,1978-05-19,48,M,Republican,House,FL,1978,Generation X
Lucy,McBath,1960-06-01,65,F,Democrat,House,GA,1960,Baby Boomer
Russ,Fulcher,1973-07-19,52,M,Republican,House,ID,1973,Generation X
Jesús,García,1956-04-12,70,M,Democrat,House,IL,1956,Baby Boomer
Sean,Casten,1971-11-23,54,M,Democrat,House,IL,1971,Generation X
Lauren,Underwood,1986-10-04,39,F,Democrat,House,IL,1986,Millennial
James,Baird,1945-06-04,80,M,Republican,House,IN,1945,Silent Generation
Sharice,Davids,1980-05-22,46,F,Democrat,House,KS,1980,Generation X
Lori,Trahan,1973-10-27,52,F,Democrat,House,MA,1973,Generation X
Ayanna,Pressley,1974-02-03,52,F,Democrat,House,MA,1974,Generation X
Elissa,Slotkin,1976-07-10,49,F,Democrat,Senate,MI,1976,Generation X
Haley,Stevens,1983-06-24,42,F,Democrat,House,MI,1983,Millennial
Rashida,Tlaib,1976-07-24,49,F,Democrat,House,MI,1976,Generation X
Angie,Craig,1972-02-14,54,F,Democrat,House,MN,1972,Generation X
Ilhan,Omar,1981-10-04,44,F,Democrat,House,MN,1981,Millennial
Pete,Stauber,1966-05-10,60,M,Republican,House,MN,1966,Generation X
Michael,Guest,1970-02-04,56,M,Republican,House,MS,1970,Generation X
Chris,Pappas,1980-06-04,45,M,Democrat,House,NH,1980,Generation X
Jefferson,Van Drew,1953-02-23,73,M,Republican,House,NJ,1953,Baby Boomer
Andy,Kim,1982-07-12,43,M,Democrat,Senate,NJ,1982,Millennial
Susie,Lee,1966-11-07,59,F,Democrat,House,NV,1966,Generation X
Alexandria,Ocasio-Cortez,1989-10-13,36,F,Democrat,House,NY,1989,Millennial
Madeleine,Dean,1959-06-06,66,F,Democrat,House,PA,1959,Baby Boomer
Chrissy,Houlahan,1967-06-05,58,F,Democrat,House,PA,1967,Generation X
Daniel,Meuser,1964-02-10,62,M,Republican,House,PA,1964,Baby Boomer
John,Joyce,1957-02-08,69,M,Republican,House,PA,1957,Baby Boomer
Guy,Reschenthaler,1983-04-17,43,M,Republican,House,PA,1983,Millennial
William,Timmons,1984-04-30,42,M,Republican,House,SC,1984,Millennial
Dusty,Johnson,1976-09-30,49,M,Republican,House,SD,1976,Generation X
Tim,Burchett,1964-08-25,61,M,Republican,House,TN,1964,Baby Boomer
John,Rose,1965-02-23,61,M,Republican,House,TN,1965,Generation X
Dan,Crenshaw,1984-03-14,42,M,Republican,House,TX,1984,Millennial
Lance,Gooden,1982-12-01,43,M,Republican,House,TX,1982,Millennial
Lizzie,Fletcher,1975-02-13,51,F,Democrat,House,TX,1975,Generation X
Veronica,Escobar,1969-09-15,56,F,Democrat,House,TX,1969,Generation X
Chip,Roy,1972-08-07,53,M,Republican,House,TX,1972,Generation X
Sylvia,Garcia,1950-09-06,75,F,Democrat,House,TX,1950,Baby Boomer
Ben,Cline,1972-02-29,54,M,Republican,House,VA,1972,Generation X
Kim,Schrier,1968-08-23,57,F,Democrat,House,WA,1968,Generation X
Bryan,Steil,1981-03-30,45,M,Republican,House,WI,1981,Millennial
Carol,Miller,1950-11-04,75,F,Republican,House,WV,1950,Baby Boomer
Rick,Scott,1952-12-01,73,M,Republican,Senate,FL,1952,Baby Boomer
Joshua,Hawley,1979-12-31,46,M,Republican,Senate,MO,1979,Generation X
Jared,Golden,1982-07-25,43,M,Democrat,House,ME,1982,Millennial
Gregory,Murphy,1963-03-05,63,M,Republican,House,NC,1963,Baby Boomer
Kweisi,Mfume,1948-10-24,77,M,Democrat,House,MD,1948,Baby Boomer
Thomas,Tiffany,1957-12-30,68,M,Republican,House,WI,1957,Baby Boomer
Mark,Kelly,1964-02-21,62,M,Democrat,Senate,AZ,1964,Baby Boomer
Cynthia,Lummis,1954-09-10,71,F,Republican,Senate,WY,1954,Baby Boomer
Darrell,Issa,1953-11-01,72,M,Republican,House,CA,1953,Baby Boomer
Pete,Sessions,1955-03-22,71,M,Republican,House,TX,1955,Baby Boomer
David,Valadao,1977-04-14,49,M,Republican,House,CA,1977,Generation X
Tommy,Tuberville,1954-09-18,71,M,Republican,Senate,AL,1954,Baby Boomer
John,Hickenlooper,1952-02-07,74,M,Democrat,Senate,CO,1952,Baby Boomer
Bill,Hagerty,1959-08-14,66,M,Republican,Senate,TN,1959,Baby Boomer
Barry,Moore,1966-09-26,59,M,Republican,House,AL,1966,Generation X
Jay,Obernolte,1970-08-18,55,M,Republican,House,CA,1970,Generation X
Young,Kim,1962-10-18,63,F,Republican,House,CA,1962,Baby Boomer
Sara,Jacobs,1989-02-01,37,F,Democrat,House,CA,1989,Millennial
Lauren,Boebert,1986-12-15,39,F,Republican,House,CO,1986,Millennial
Katherine,Cammack,1988-02-16,38,F,Republican,House,FL,1988,Millennial
C.,Franklin,1964-08-23,61,M,Republican,House,FL,1964,Baby Boomer
Byron,Donalds,1978-10-28,47,M,Republican,House,FL,1978,Generation X
Carlos,Gimenez,1954-01-17,72,M,Republican,House,FL,1954,Baby Boomer
Maria,Salazar,1961-11-01,64,F,Republican,House,FL,1961,Baby Boomer
Nikema,Williams,1978-07-30,47,F,Democrat,House,GA,1978,Generation X
Andrew,Clyde,1963-11-22,62,M,Republican,House,GA,1963,Baby Boomer
Ashley,Hinson,1983-06-27,42,F,Republican,House,IA,1983,Millennial
Mariannette,Miller-Meeks,1955-09-06,70,F,Republican,House,IA,1955,Baby Boomer
Randy,Feenstra,1969-01-14,57,M,Republican,House,IA,1969,Generation X
Mary,Miller,1959-08-27,66,F,Republican,House,IL,1959,Baby Boomer
Frank,Mrvan,1969-04-16,57,M,Democrat,House,IN,1969,Generation X
Victoria,Spartz,1978-10-06,47,F,Republican,House,IN,1978,Generation X
Tracey,Mann,1976-12-17,49,M,Republican,House,KS,1976,Generation X
Jake,Auchincloss,1988-01-29,38,M,Democrat,House,MA,1988,Millennial
Lisa,McClain,1966-04-07,60,F,Republican,House,MI,1966,Generation X
Michelle,Fischbach,1965-11-03,60,F,Republican,House,MN,1965,Generation X
Deborah,Ross,1963-06-20,62,F,Democrat,House,NC,1963,Baby Boomer
